,type,compound_score,pos_score,neg_score,neu_score,ellipses,exclamation,question,links
0,INFJ,0.039360000000000006,0.08786,0.056760000000000005,0.85536,15,3,2,24
1,ENTP,0.32581400000000005,0.18538,0.05728,0.75744,18,0,4,10
2,INTP,0.21414999999999998,0.1459,0.0599,0.7942199999999999,13,4,9,5
3,INTJ,0.174424,0.10954000000000001,0.055580000000000004,0.8348400000000001,26,3,9,2
4,ENTJ,0.03589,0.12440000000000001,0.11368,0.7619,21,1,8,6
5,INTJ,0.144966,0.106,0.06309999999999999,0.83088,39,0,10,1
6,INFJ,0.31182,0.17778000000000002,0.06604000000000002,0.7561800000000001,36,3,12,2
7,INTJ,0.25900199999999995,0.16465999999999997,0.0891,0.74628,26,0,34,1
8,INFJ,0.11209,0.09937999999999998,0.05034000000000001,0.85024,12,1,0,23
9,INTP,0.10317599999999999,0.12166,0.08878000000000003,0.7895400000000001,23,3,6,7
10,INFJ,-0.09128399999999999,0.0819,0.12046000000000001,0.7976399999999999,41,10,22,1
11,ENFJ,0.3451116279069767,0.33416279069767435,0.06872093023255815,0.5971395348837208,18,28,4,3
12,INFJ,0.14981000000000003,0.11995999999999998,0.07482,0.80518,27,8,14,0
13,INTJ,0.174788,0.12618000000000001,0.07454,0.7992199999999999,41,6,9,0
14,INTP,0.028687999999999984,0.12906,0.09797999999999998,0.77298,15,2,2,3
15,INTP,0.043814,0.12724,0.1192,0.7535,30,4,11,1
16,INFJ,0.3161775510204081,0.15746938775510202,0.07285714285714286,0.769734693877551,41,20,9,4
17,INFP,0.43331000000000003,0.19091999999999998,0.05758,0.7515799999999999,46,10,3,0
18,INFJ,0.30163799999999996,0.1641,0.0766,0.7592200000000001,37,6,6,0
19,INFP,0.246586,0.1346,0.03146,0.8139,28,5,10,0
20,INTP,0.032336000000000004,0.08530000000000001,0.09212000000000002,0.82258,21,2,8,1
21,INFJ,0.09567400000000001,0.11190000000000001,0.07706,0.81098,36,1,8,13
22,ENTJ,0.245404,0.18514,0.0776,0.73732,29,20,12,5
23,INFP,0.4205821428571429,0.20028571428571432,0.02089285714285714,0.7788571428571428,26,4,9,0
24,ENTJ,0.25728400000000007,0.20196000000000003,0.054000000000000006,0.7440599999999999,39,5,9,5
25,INFP,0.23705600000000002,0.15588,0.0779,0.76622,21,11,8,3
26,ENFP,0.288494,0.12108,0.047259999999999996,0.8315,45,12,1,0
27,ISFP,0.341066,0.1993,0.040279999999999996,0.7404000000000001,12,12,8,1
28,INFP,0.4075791666666666,0.17404166666666665,0.033791666666666664,0.792125,47,6,10,0
29,INFJ,0.09881000000000001,0.13342,0.1175,0.74906,38,7,4,3
30,INFP,0.19913799999999998,0.16646,0.09863999999999999,0.7349000000000001,43,7,6,0
31,INFJ,0.14971800000000002,0.19072000000000003,0.10046,0.70878,5,24,25,0
32,INTP,0.350036,0.18709999999999996,0.037720000000000004,0.77518,23,4,14,0
33,INFJ,0.257028,0.16831999999999997,0.055779999999999996,0.7759,30,3,9,1
34,ENFJ,0.28628,0.22149999999999997,0.05789999999999999,0.7205799999999999,20,12,8,3
35,INFJ,-0.02417600000000001,0.10796,0.18496,0.70706,5,2,0,28
36,INTJ,0.21563,0.12524,0.06844,0.8062999999999999,43,9,5,4
37,INFP,0.145902,0.1505,0.09147999999999999,0.73804,30,0,1,4
38,ENFP,0.20626999999999998,0.16509999999999997,0.09143999999999998,0.74348,38,0,19,3
39,ENTJ,0.178756,0.12108,0.07840000000000001,0.8005800000000001,39,26,6,0
40,ISTP,0.325564,0.1345,0.043680000000000004,0.82172,37,2,3,4
41,INFJ,0.15681999999999996,0.1324,0.0966,0.7710400000000002,49,8,5,4
42,INTP,0.151214,0.14474,0.09202,0.7632000000000001,20,4,1,0
43,INFP,0.29654800000000003,0.1487,0.04758,0.8037599999999999,31,7,8,2
44,INTJ,0.21494600000000003,0.16761999999999996,0.09164,0.7406999999999999,12,1,11,10
45,INTP,0.148842,0.14444,0.07801999999999999,0.77754,44,2,6,4
46,ENTJ,0.060023999999999994,0.08822,0.0723,0.8395000000000001,43,9,5,1
47,INFP,0.265828,0.15452,0.07075999999999999,0.77472,34,24,3,0
48,ISFJ,0.196594,0.14398,0.08843999999999999,0.7675799999999998,41,2,1,0
49,INTJ,0.06517400000000001,0.10656000000000003,0.062240000000000004,0.8312,19,0,5,7
50,INTP,0.254226,0.1594,0.058960000000000005,0.7815599999999999,28,1,10,0
51,INFP,0.27333399999999997,0.18560000000000001,0.08326,0.73106,33,4,7,6
52,ISFJ,0.47400000000000003,0.18969999999999998,0.05378,0.7564800000000002,34,47,15,3
53,INTP,0.24294800000000003,0.15999999999999998,0.08264,0.7572999999999999,33,7,12,1
54,INFP,0.3778452380952381,0.2141428571428572,0.05873809523809524,0.7270952380952381,29,7,5,0
55,INFP,0.19397241379310343,0.14186206896551723,0.0566896551724138,0.7152241379310345,18,5,0,3
56,INFP,0.38709399999999994,0.24268,0.07708,0.68014,30,20,0,1
57,ENFJ,0.23816800000000002,0.18308,0.0784,0.73856,28,8,8,3
58,INTP,0.119844,0.12162,0.08312,0.7952400000000001,27,7,2,7
59,INTJ,-0.017174000000000002,0.10411999999999999,0.11443999999999999,0.76144,25,3,8,0
60,INFJ,0.18626199999999998,0.17421999999999996,0.06798000000000001,0.7577200000000001,22,23,7,10
61,INTP,0.339852,0.16419999999999998,0.05783999999999999,0.77794,41,3,16,4
62,INFP,0.08165000000000003,0.1336,0.1469,0.7194333333333331,26,7,2,0
63,INFP,0.19918400000000003,0.12761999999999998,0.06654,0.8059000000000001,44,7,3,0
64,ENTP,0.178221875,0.15612499999999999,0.0683125,0.77553125,4,0,0,0
65,INTP,0.263838,0.15756000000000003,0.07516,0.7672200000000001,37,2,8,0
66,ISFP,0.511382,0.18130000000000002,0.02216,0.77652,36,20,19,3
67,ENFJ,0.5713539999999999,0.18533999999999998,0.018219999999999997,0.7964200000000001,70,26,16,0
68,INFJ,0.22040800000000002,0.14078,0.08161999999999998,0.77752,33,7,14,4
69,ENFJ,0.3528959183673469,0.20877551020408164,0.05118367346938776,0.7400612244897958,22,8,12,2
70,INFJ,0.25729,0.14427999999999996,0.057159999999999996,0.79854,43,2,6,0
71,INFP,0.15007,0.1262,0.06564,0.8081600000000002,22,0,0,11
72,ENFP,0.263378,0.15000000000000002,0.06838,0.78158,25,0,2,7
73,ISTP,0.09400800000000001,0.0959,0.04759999999999999,0.8564200000000001,19,1,2,2
74,INFJ,0.28044,0.21506000000000003,0.07468,0.71032,45,11,7,1
75,INTP,0.099632,0.13176,0.061020000000000005,0.8071799999999999,25,5,6,0
76,INTJ,0.255552,0.14256000000000002,0.07406,0.78338,39,2,7,0
77,INTJ,0.097858,0.11028,0.07936,0.8103400000000001,22,3,6,1
78,INTJ,0.23676200000000003,0.13785999999999998,0.07694000000000001,0.7851600000000001,46,3,9,2
79,INFP,0.32210200000000005,0.13424000000000003,0.04204000000000001,0.82376,40,13,16,0
80,INFP,-0.09167199999999999,0.08892000000000001,0.13474,0.7763,19,1,6,0
81,INFJ,0.17744,0.21108000000000002,0.07825999999999998,0.71062,28,15,15,3
82,ENTP,0.3791979999999999,0.15132,0.050300000000000004,0.7983999999999999,38,0,8,1
83,ENTJ,0.10541200000000002,0.09451999999999999,0.06886,0.8166,25,2,15,9
84,INFP,0.12710425531914896,0.13753191489361702,0.1195531914893617,0.7428723404255321,37,2,17,1
85,INTP,0.13702857142857144,0.1242285714285714,0.04637142857142857,0.8293714285714286,20,2,6,2
86,INFP,0.189344,0.15847999999999998,0.09549999999999999,0.746,28,2,7,2
87,ISFJ,0.13799999999999998,0.13696551724137931,0.08575862068965517,0.7772758620689654,28,6,6,2
88,ISTJ,0.15462,0.12034000000000003,0.0567,0.82298,14,6,4,31
89,INTP,0.20525399999999996,0.10913999999999997,0.07064,0.8203199999999999,39,17,6,1
90,ENTP,0.25487,0.13046,0.056519999999999994,0.81302,33,2,6,3
91,INTP,0.280224,0.1495,0.06934,0.78118,38,7,17,0
